Nombre,CAL,P,G,C,showAmountInTable,showInShoppingList,weightOfTheUnit,orderShopping,PP,PG,PC,VALIDATION
Aceite de oliva,888,0,100,0,TRUE,FALSE,1,110 - Aceite-Vinagre,0.00%,101.35%,0.00%,OK
Agua,0,0,0,0,TRUE,FALSE,1,000 - NONE,,,,
Aguacate,137,1.5,12,0.4,TRUE,TRUE,1,030 - Hoja verde-Cherry-Aguacate-Verduras micro,4.38%,78.83%,1.17%,-0.1562
Ajo,117,3.93,0.23,24.3,TRUE,FALSE,1,050 - Verdura congelada,13.44%,1.77%,83.08%,OK
Ajos tiernos,37,1.9,0.3,4.7,TRUE,TRUE,1,050 - Verdura congelada,20.54%,7.30%,50.81%,-0.2135
Albahaca fresca,0,0,0,0,FALSE,FALSE,1,000 - NONE,,,,
Alubia blanca cocida,83,5.8,0.4,10.7,TRUE,TRUE,1,160 - Legumbres-Arroz-Pasta,27.95%,4.34%,51.57%,-0.1614
Anacardos natural,604,22,48,19,TRUE,TRUE,1,150 - Huevos-Caldo-Aperitivos-Tortitas trigo,14.57%,71.52%,12.58%,OK
Apio,11,0.9,0.1,1.5,TRUE,TRUE,1,040 - Verdura fresca- Champiñones,32.73%,8.18%,54.55%,OK
Arroz basmati,355,9,0.6,78,TRUE,TRUE,1,160 - Legumbres-Arroz-Pasta,10.14%,1.52%,87.89%,OK
Arroz estándar,344,6.5,0.7,76,TRUE,TRUE,1,160 - Legumbres-Arroz-Pasta,7.56%,1.83%,88.37%,OK
Arroz integral (Hacendado),347,8.4,2.5,71,TRUE,TRUE,1,160 - Legumbres-Arroz-Pasta,9.68%,6.48%,81.84%,OK
Atún congelado (Hacendado),82,19.9,0.11,1,TRUE,TRUE,1,080 - Pescado congelado,97.07%,1.21%,4.88%,OK
Atún en aceite oli lata,357,19,31,0.9,TRUE,TRUE,60,120 - Latas conserva,21.29%,78.15%,1.01%,OK
Atún fresco,101,24.2,0.2,0.5,TRUE,TRUE,1,070 - Pescado fresco envasado,95.84%,1.78%,1.98%,OK
Atún lata nat,97,21,1,1,TRUE,TRUE,60,120 - Latas conserva,86.60%,9.28%,4.12%,OK
Azafrán,0,0,0,0,FALSE,FALSE,1,000 - NONE,,,,
Bacalao fresco,83,18.2,1,0,TRUE,TRUE,1,100 - Pescado fresco,87.71%,10.84%,0.00%,OK
Bacon,349,14.9,31.7,1,TRUE,TRUE,1,180 - Charcutería,17.08%,81.75%,1.15%,OK
Berenjena,20,0.7,0.2,2.39,TRUE,TRUE,1,040 - Verdura fresca- Champiñones,14.00%,9.00%,47.80%,-0.2920
Brócoli fresco o congelado,26,3,0.4,2.4,TRUE,TRUE,1,050 - Verdura congelada,46.15%,13.85%,36.92%,OK
Brotes tiernos,22,1.6,0.6,1.5,TRUE,TRUE,1,030 - Hoja verde-Cherry-Aguacate-Verduras micro,29.09%,24.55%,27.27%,-0.1909
Cacao en polvo 0%,375,25.5,16,16.3,TRUE,TRUE,1,240 - Yogures-Café-Galletas,27.20%,38.40%,17.39%,-0.1701
Calabacín,17,1.88,0.2,2,TRUE,TRUE,1,040 - Verdura fresca- Champiñones,44.24%,10.59%,47.06%,OK
Caldo de pollo (Gallina Blanca),5,0.4,0.3,0.2,TRUE,TRUE,1,150 - Huevos-Caldo-Aperitivos-Tortitas trigo,32.00%,54.00%,16.00%,OK
Caldo de verdura,5,0.3,0.5,0.3,TRUE,TRUE,1,150 - Huevos-Caldo-Aperitivos-Tortitas trigo,24.00%,90.00%,24.00%,0.3800
Canela,0,0,0,0,FALSE,FALSE,1,000 - NONE,,,,
Cebolla,41,1.2,0.1,7.9,TRUE,TRUE,1,050 - Verdura congelada,11.71%,2.20%,77.07%,-0.0902
Cebolleta,41,1.2,0.1,7.9,TRUE,TRUE,1,010 - Tomate-Patata-Cebolla-Pepino-Ajo,11.71%,2.20%,77.07%,-0.0902
Cebollino,0,0,0,0,FALSE,FALSE,1,000 - NONE,,,,
Champiñón,26,1.8,0.3,4,TRUE,TRUE,1,040 - Verdura fresca- Champiñones,27.69%,10.38%,61.54%,OK
Cherry,19,0.9,0.1,3.5,TRUE,TRUE,1,030 - Hoja verde-Cherry-Aguacate-Verduras micro,18.95%,4.74%,73.68%,OK
Chocolate negro 72% (Hacendado),580,7.4,44,33,TRUE,TRUE,1,230 - Chocolate,5.10%,68.28%,22.76%,OK
Chocolate negro 85% (Hacendado),576,12,46,22,TRUE,TRUE,1,230 - Chocolate,8.33%,71.88%,15.28%,OK
Cilantro,0,0,0,0,FALSE,FALSE,1,050 - Verdura congelada,,,,
Clara de huevo (Hacendado),50,11,0.1,0.5,TRUE,TRUE,1,210 - Platos preparados,88.00%,1.80%,4.00%,-0.0620
Coliflor congelada,28,2.2,0.3,3.1,TRUE,TRUE,1,050 - Verdura congelada,31.43%,9.64%,44.29%,-0.1464
Copos avena,375,14,7,60,TRUE,TRUE,1,250 - Cereales,14.93%,16.80%,64.00%,OK
"Cous cous (Bia, Mercadona)",350,12,1.6,70,TRUE,TRUE,1,160 - Legumbres-Arroz-Pasta,13.71%,4.11%,80.00%,OK
Crema de espárragos,46,0.6,2,6.3,TRUE,TRUE,1,210 - Platos preparados,5.22%,39.13%,54.78%,OK
Curry,0,0,0,0,FALSE,FALSE,1,000 - NONE,,,,
Dorada fresca,78,17,1,0,TRUE,TRUE,1,070 - Pescado fresco envasado,87.18%,11.54%,0.00%,OK
Edamame,130,11,4,11,TRUE,TRUE,1,050 - Verdura congelada,33.85%,27.69%,33.85%,OK
Emperador,108,18,3.5,0.5,TRUE,TRUE,1,100 - Pescado fresco,66.67%,29.17%,1.85%,OK
Espinacas normales o baby (Hacendado),22,2.7,0.8,1,TRUE,TRUE,1,030 - Hoja verde-Cherry-Aguacate-Verduras micro,49.09%,32.73%,18.18%,OK
Garbanzo cocido pedrosillano (Hacendado),90,5.5,2.2,9.5,TRUE,TRUE,1,160 - Legumbres-Arroz-Pasta,24.44%,22.00%,42.22%,-0.1133
Guisantes congelados (Hacendado),83,6,0.4,11,TRUE,TRUE,1,050 - Verdura congelada,28.92%,4.34%,53.01%,-0.1373
